feature,importance
account_balance,0.19398988174009013
amount,0.13782078188200442
time_of_day,0.13431836659155016
age,0.12709134185705456
num_prev_txn,0.0739347417087514
country_3,0.06432070156717103
is_foreign_0,0.04421160792974868
is_foreign_1,0.03863137258395001
merchant_category_6,0.0355582342281619
country_5,0.033645984366621494
country_2,0.023551728360691727
country_4,0.01977397031700912
country_1,0.013877002558421623
merchant_category_1,0.009040544376175548
merchant_category_2,0.008618769845390303
merchant_category_4,0.008540898201695703
merchant_category_3,0.008007129608397019
merchant_category_0,0.006621796241342882
country_0,0.006069929997176699
merchant_category_5,0.005907491562394855
is_high_risk_merchant_1,0.003239323234579255
is_high_risk_merchant_0,0.0032284012416216074
